"","Points","Cost","Name","Position"
"1","34.7","$8300","Hassan Whiteside","C"
"2","32.63","$6900","Dwight Howard","C"
"3","34.99","$8000","DeAndre Jordan","C"
"4","24.72","$5700","Al Jefferson","C"
"5","24.24","$6100","Mason Plumlee","C"
"6","19.67","$4300","Cody Zeller","C"
"7","15.4","$3500","Festus Ezeli","C"
"8","20.59","$4300","Andrew Bogut","C"
"9","12.01","$3500","Cole Aldrich","C"
"10","6.48","$3500","Spencer Hawes","C"
"11","4.62","$3500","Anderson Varejao","C"
"12","1.33","$3500","Chris Kaman","C"
"13","47.28","$10600","Stephen Curry","PG"
"14","39.05","$8000","Damian Lillard","PG"
"15","36.38","$8200","Kemba Walker","PG"
"16","40.89","$9500","Chris Paul","PG"
"17","27.28","$6400","Goran Dragic","PG"
"18","21.5","$4800","Patrick Beverley","PG"
"19","13.68","$4000","Austin Rivers","PG"
"20","13.62","$4400","Shaun Livingston","PG"
"21","4.97","$3500","Jason Terry","PG"
"22","4.15","$3500","Brian Roberts","PG"
"23","2.16","$3500","Jorge Gutierrez","PG"
"24","2.87","$3500","Pablo Prigioni","PG"
"25","1.12","$3500","Andrew Goudelock","PG"
"26","0.47","$3500","Aaron Harrison","PG"
"27","46.75","$10500","James Harden","SG"
"28","30.93","$7600","Klay Thompson","SG"
"29","31.56","$6900","C.J. McCollum","SG"
"30","31.52","$7700","Dwyane Wade","SG"
"31","21.55","$4200","J.J. Redick","SG"
"32","20.35","$4800","Jamal Crawford","SG"
"33","20.96","$4800","Jeremy Lin","SG"
"34","16.56","$3500","Allen Crabbe","SG"
"35","16.97","$3800","Courtney Lee","SG"
"36","13.76","$3500","Gerald Henderson","SG"
"37","12.05","$4000","Josh Richardson","SG"
"38","8.85","$3500","Gerald Green","SG"
"39","9.73","$3500","Leandro Barbosa","SG"
"40","8.06","$3500","Jeremy Lamb","SG"
"41","5.53","$3500","Troy Daniels","SG"
"42","3.67","$3500","Ian Clark","SG"
"43","2.48","$3500","C.J. Wilcox","SG"
"44","2.74","$3500","Brandon Rush","SG"
"45","0.66","$3500","Pat Connaughton","SG"
"46","30.58","$6900","Nicolas Batum","SF"
"47","24.33","$5500","Trevor Ariza","SF"
"48","21.8","$4700","Joe Johnson","SF"
"49","19.34","$3800","Michael Beasley","SF"
"50","21.08","$4400","Harrison Barnes","SF"
"51","20.37","$3800","Jeff Green","SF"
"52","24.22","$5000","Marvin Williams","SF"
"53","21.18","$6000","Al-Farouq Aminu","SF"
"54","18.35","$4300","Andre Iguodala","SF"
"55","13.33","$3500","Corey Brewer","SF"
"56","13.6","$3500","Wesley Johnson","SF"
"57","16.29","$3500","Justise Winslow","SF"
"58","12.48","$5100","Maurice Harkless","SF"
"59","11.32","$3500","Paul Pierce","SF"
"60","8.23","$3500","Luc Mbah a Moute","SF"
"61","2.42","$3500","K.J. McDaniels","SF"
"62","0.64","$3500","Luis Montero","SF"
"63","0.47","$3500","Dorell Wright","SF"
"64","39.18","$8600","Blake Griffin","PF"
"65","38.48","$8800","Draymond Green","PF"
"66","23.36","$6600","Luol Deng","PF"
"67","15.27","$3600","Frank Kaminsky","PF"
"68","17.65","$3500","Clint Capela","PF"
"69","19.55","$3700","Ed Davis","PF"
"70","9.33","$3700","Donatas Motiejunas","PF"
"71","9.53","$3500","Terrence Jones","PF"
"72","8.61","$3600","Marreese Speights","PF"
"73","10.62","$3500","Amar'e Stoudemire","PF"
"74","8.26","$3500","Noah Vonleh","PF"
"75","5.48","$3500","Josh Smith","PF"
"76","2.86","$3500","James Michael McAdoo","PF"
"77","2.81","$3500","Josh McRoberts","PF"
"78","1.95","$3500","Montrezl Harrell","PF"
"79","1.3","$3500","Tyler Hansbrough","PF"
"80","0.93","$3500","Udonis Haslem","PF"
"81","1.11","$3500","Cliff Alexander","PF"
"82","0.54","$3500","Branden Dawson","PF"
